municipio;codEstacao;uf;nomeEstacao;latitude;longitude;datahora;valorMedida
CANAPI;270160501C;AL;CANAPI;-37,53562;-9,18514;2017-02-20 18:10:00.0;1,80;
CANAPI;270160501C;AL;CANAPI;-37,53562;-9,18514;2017-02-20 18:20:00.0;5,40;
CANAPI;270160501C;AL;CANAPI;-37,53562;-9,18514;2017-02-20 18:30:00.0;10,20;
CANAPI;270160501C;AL;CANAPI;-37,53562;-9,18514;2017-02-20 18:40:00.0;0,80;
CANAPI;270160501C;AL;CANAPI;-37,53562;-9,18514;2017-02-20 18:50:00.0;1,20;
CANAPI;270160501C;AL;CANAPI;-37,53562;-9,18514;2017-02-20 19:00:00.0;0,60;
CANAPI;270160501C;AL;CANAPI;-37,53562;-9,18514;2017-02-20 19:10:00.0;0,00;
CANAPI;270160501C;AL;CANAPI;-37,53562;-9,18514;2017-02-20 19:20:00.0;0,00;
CANAPI;270160501C;AL;CANAPI;-37,53562;-9,18514;2017-02-20 19:30:00.0;0,00;
CANAPI;270160501C;AL;CANAPI;-37,53562;-9,18514;2017-02-20 19:40:00.0;0,00;
CANAPI;270160501C;AL;CANAPI;-37,53562;-9,18514;2017-02-20 19:50:00.0;0,00;
CANAPI;270160501C;AL;CANAPI;-37,53562;-9,18514;2017-02-20 20:00:00.0;0,00;
CANAPI;270160501C;AL;CANAPI;-37,53562;-9,18514;2017-02-20 20:10:00.0;0,00;
CANAPI;270160501C;AL;CANAPI;-37,53562;-9,18514;2017-02-20 20:20:00.0;0,00;
CANAPI;270160501C;AL;CANAPI;-37,53562;-9,18514;2017-02-20 20:30:00.0;0,00;
CANAPI;270160501C;AL;CANAPI;-37,53562;-9,18514;2017-02-20 20:40:00.0;0,00;
CANAPI;270160501C;AL;CANAPI;-37,53562;-9,18514;2017-02-20 20:50:00.0;0,00;
CANAPI;270160501C;AL;CANAPI;-37,53562;-9,18514;2017-02-20 21:00:00.0;0,00;
CANAPI;270160501C;AL;CANAPI;-37,53562;-9,18514;2017-02-20 21:10:00.0;0,00;
CANAPI;270160501C;AL;CANAPI;-37,53562;-9,18514;2017-02-20 21:20:00.0;0,00;
CANAPI;270160501C;AL;CANAPI;-37,53562;-9,18514;2017-02-20 21:30:00.0;0,00;
CANAPI;270160501C;AL;CANAPI;-37,53562;-9,18514;2017-02-20 21:40:00.0;0,00;
CANAPI;270160501C;AL;CANAPI;-37,53562;-9,18514;2017-02-20 21:50:00.0;0,00;
CANAPI;270160501C;AL;CANAPI;-37,53562;-9,18514;2017-02-20 22:00:00.0;0,00;
CANAPI;270160501C;AL;CANAPI;-37,53562;-9,18514;2017-02-20 22:10:00.0;0,00;
CANAPI;270160501C;AL;CANAPI;-37,53562;-9,18514;2017-02-20 22:20:00.0;0,00;
CANAPI;270160501C;AL;CANAPI;-37,53562;-9,18514;2017-02-20 22:30:00.0;0,00;
CANAPI;270160501C;AL;CANAPI;-37,53562;-9,18514;2017-02-20 22:40:00.0;0,00;
CANAPI;270160501C;AL;CANAPI;-37,53562;-9,18514;2017-02-20 22:50:00.0;0,00;
CANAPI;270160501C;AL;CANAPI;-37,53562;-9,18514;2017-02-20 23:00:00.0;0,00;
CANAPI;270160501C;AL;CANAPI;-37,53562;-9,18514;2017-02-20 23:10:00.0;0,00;
CANAPI;270160501C;AL;CANAPI;-37,53562;-9,18514;2017-02-20 23:20:00.0;0,00;
CANAPI;270160501C;AL;CANAPI;-37,53562;-9,18514;2017-02-20 23:30:00.0;0,00;
CANAPI;270160501C;AL;CANAPI;-37,53562;-9,18514;2017-02-20 23:40:00.0;0,00;
CANAPI;270160501C;AL;CANAPI;-37,53562;-9,18514;2017-02-20 23:50:00.0;0,00;
CANAPI;270160501C;AL;CANAPI;-37,53562;-9,18514;2017-02-21 00:00:00.0;0,00;
CANAPI;270160501C;AL;CANAPI;-37,53562;-9,18514;2017-02-21 00:10:00.0;0,00;
CANAPI;270160501C;AL;CANAPI;-37,53562;-9,18514;2017-02-21 00:20:00.0;0,00;
CANAPI;270160501C;AL;CANAPI;-37,53562;-9,18514;2017-02-21 00:30:00.0;0,00;
CANAPI;270160501C;AL;CANAPI;-37,53562;-9,18514;2017-02-21 00:40:00.0;0,00;
CANAPI;270160501C;AL;CANAPI;-37,53562;-9,18514;2017-02-21 00:50:00.0;0,00;
CANAPI;270160501C;AL;CANAPI;-37,53562;-9,18514;2017-02-21 01:00:00.0;0,00;
CANAPI;270160501C;AL;CANAPI;-37,53562;-9,18514;2017-02-21 01:10:00.0;0,20;
CANAPI;270160501C;AL;CANAPI;-37,53562;-9,18514;2017-02-21 01:20:00.0;0,00;
