municipio;codEstacao;uf;nomeEstacao;latitude;longitude;datahora;valorMedida
RIO BRANCO;120040101A;AC;AC Oca;-67,806662;-9,972969;2017-02-19 15:10:00.0;88,96;
RIO BRANCO;120040101A;AC;AC Oca;-67,806662;-9,972969;2017-02-19 15:20:00.0;0,00;
RIO BRANCO;120040101A;AC;AC Oca;-67,806662;-9,972969;2017-02-19 15:30:00.0;0,00;
RIO BRANCO;120040101A;AC;AC Oca;-67,806662;-9,972969;2017-02-19 15:40:00.0;0,00;
RIO BRANCO;120040101H;AC;Igarape Judia;-67,880229;-9,937753;2017-02-01 00:00:00.0;0,00;
RIO BRANCO;120040101H;AC;Igarape Judia;-67,880229;-9,937753;2017-02-01 01:00:00.0;0,00;
RIO BRANCO;120040101H;AC;Igarape Judia;-67,880229;-9,937753;2017-02-01 02:00:00.0;0,00;
RIO BRANCO;120040101H;AC;Igarape Judia;-67,880229;-9,937753;2017-02-01 03:00:00.0;0,00;
RIO BRANCO;120040101H;AC;Igarape Judia;-67,880229;-9,937753;2017-02-01 04:00:00.0;0,00;
RIO BRANCO;120040101H;AC;Igarape Judia;-67,880229;-9,937753;2017-02-01 05:00:00.0;0,00;
RIO BRANCO;120040101H;AC;Igarape Judia;-67,880229;-9,937753;2017-02-01 06:00:00.0;0,00;
RIO BRANCO;120040101H;AC;Igarape Judia;-67,880229;-9,937753;2017-02-01 07:00:00.0;0,00;
RIO BRANCO;120040101H;AC;Igarape Judia;-67,880229;-9,937753;2017-02-01 08:00:00.0;0,00;
RIO BRANCO;120040101H;AC;Igarape Judia;-67,880229;-9,937753;2017-02-01 09:00:00.0;0,00;
RIO BRANCO;120040101H;AC;Igarape Judia;-67,880229;-9,937753;2017-02-01 10:00:00.0;0,00;
RIO BRANCO;120040101H;AC;Igarape Judia;-67,880229;-9,937753;2017-02-01 11:00:00.0;0,00;
RIO BRANCO;120040101H;AC;Igarape Judia;-67,880229;-9,937753;2017-02-01 12:00:00.0;0,00;
RIO BRANCO;120040101H;AC;Igarape Judia;-67,880229;-9,937753;2017-02-01 13:00:00.0;0,00;
RIO BRANCO;120040101H;AC;Igarape Judia;-67,880229;-9,937753;2017-02-01 14:00:00.0;0,00;
RIO BRANCO;120040101H;AC;Igarape Judia;-67,880229;-9,937753;2017-02-01 15:00:00.0;0,00;
RIO BRANCO;120040101H;AC;Igarape Judia;-67,880229;-9,937753;2017-02-01 16:00:00.0;0,00;
RIO BRANCO;120040101H;AC;Igarape Judia;-67,880229;-9,937753;2017-02-01 17:00:00.0;0,00;
RIO BRANCO;120040101H;AC;Igarape Judia;-67,880229;-9,937753;2017-02-01 18:00:00.0;0,00;
RIO BRANCO;120040101H;AC;Igarape Judia;-67,880229;-9,937753;2017-02-01 19:00:00.0;0,00;
RIO BRANCO;120040101H;AC;Igarape Judia;-67,880229;-9,937753;2017-02-01 19:10:00.0;0,00;
RIO BRANCO;120040101H;AC;Igarape Judia;-67,880229;-9,937753;2017-02-01 19:20:00.0;0,00;
RIO BRANCO;120040101H;AC;Igarape Judia;-67,880229;-9,937753;2017-02-01 19:30:00.0;0,00;
RIO BRANCO;120040101H;AC;Igarape Judia;-67,880229;-9,937753;2017-02-01 19:40:00.0;0,80;
RIO BRANCO;120040101H;AC;Igarape Judia;-67,880229;-9,937753;2017-02-01 19:50:00.0;0,00;
RIO BRANCO;120040101H;AC;Igarape Judia;-67,880229;-9,937753;2017-02-01 20:00:00.0;0,00;
RIO BRANCO;120040101H;AC;Igarape Judia;-67,880229;-9,937753;2017-02-01 21:00:00.0;0,00;
RIO BRANCO;120040101H;AC;Igarape Judia;-67,880229;-9,937753;2017-02-01 22:00:00.0;0,00;
RIO BRANCO;120040101H;AC;Igarape Judia;-67,880229;-9,937753;2017-02-01 23:00:00.0;0,00;
RIO BRANCO;120040101H;AC;Igarape Judia;-67,880229;-9,937753;2017-02-02 00:00:00.0;0,00;
RIO BRANCO;120040101H;AC;Igarape Judia;-67,880229;-9,937753;2017-02-02 01:00:00.0;0,00;
RIO BRANCO;120040101H;AC;Igarape Judia;-67,880229;-9,937753;2017-02-02 02:00:00.0;0,00;
RIO BRANCO;120040101H;AC;Igarape Judia;-67,880229;-9,937753;2017-02-02 03:00:00.0;0,00;
RIO BRANCO;120040101H;AC;Igarape Judia;-67,880229;-9,937753;2017-02-02 04:00:00.0;0,00;
RIO BRANCO;120040101H;AC;Igarape Judia;-67,880229;-9,937753;2017-02-02 05:00:00.0;0,00;
RIO BRANCO;120040101H;AC;Igarape Judia;-67,880229;-9,937753;2017-02-02 06:00:00.0;0,00;
RIO BRANCO;120040101H;AC;Igarape Judia;-67,880229;-9,937753;2017-02-02 07:00:00.0;0,00;
RIO BRANCO;120040101H;AC;Igarape Judia;-67,880229;-9,937753;2017-02-02 08:00:00.0;0,00;
RIO BRANCO;120040101H;AC;Igarape Judia;-67,880229;-9,937753;2017-02-02 09:00:00.0;0,00;
RIO BRANCO;120040101H;AC;Igarape Judia;-67,880229;-9,937753;2017-02-02 09:10:00.0;0,00;
RIO BRANCO;120040101H;AC;Igarape Judia;-67,880229;-9,937753;2017-02-02 09:20:00.0;0,00;
RIO BRANCO;120040101H;AC;Igarape Judia;-67,880229;-9,937753;2017-02-02 09:30:00.0;0,00;
RIO BRANCO;120040101H;AC;Igarape Judia;-67,880229;-9,937753;2017-02-02 09:40:00.0;0,00;
RIO BRANCO;120040101H;AC;Igarape Judia;-67,880229;-9,937753;2017-02-02 09:50:00.0;0,00;
