municipio;codEstacao;uf;nomeEstacao;latitude;longitude;datahora;valorMedida
ADUSTINA;290035501C;BA;ADUSTINA;-38,1213;-10,51167;2017-01-07 13:20:00.0;0,20;
ADUSTINA;290035501C;BA;ADUSTINA;-38,1213;-10,51167;2017-01-07 13:30:00.0;0,00;
ADUSTINA;290035501C;BA;ADUSTINA;-38,1213;-10,51167;2017-01-07 13:40:00.0;0,00;
ADUSTINA;290035501C;BA;ADUSTINA;-38,1213;-10,51167;2017-01-07 13:50:00.0;0,00;
ADUSTINA;290035501C;BA;ADUSTINA;-38,1213;-10,51167;2017-01-07 14:00:00.0;0,00;
ADUSTINA;290035501C;BA;ADUSTINA;-38,1213;-10,51167;2017-01-07 14:10:00.0;0,00;
ADUSTINA;290035501C;BA;ADUSTINA;-38,1213;-10,51167;2017-01-07 14:20:00.0;0,00;
ADUSTINA;290035501C;BA;ADUSTINA;-38,1213;-10,51167;2017-01-07 14:30:00.0;0,00;
ADUSTINA;290035501C;BA;ADUSTINA;-38,1213;-10,51167;2017-01-07 14:40:00.0;0,00;
ADUSTINA;290035501C;BA;ADUSTINA;-38,1213;-10,51167;2017-01-07 14:50:00.0;0,00;
ADUSTINA;290035501C;BA;ADUSTINA;-38,1213;-10,51167;2017-01-07 15:00:00.0;0,00;
ADUSTINA;290035501C;BA;ADUSTINA;-38,1213;-10,51167;2017-01-07 15:10:00.0;0,00;
ADUSTINA;290035501C;BA;ADUSTINA;-38,1213;-10,51167;2017-01-07 15:20:00.0;0,00;
ADUSTINA;290035501C;BA;ADUSTINA;-38,1213;-10,51167;2017-01-07 15:30:00.0;0,20;
ADUSTINA;290035501C;BA;ADUSTINA;-38,1213;-10,51167;2017-01-07 15:40:00.0;1,40;
ADUSTINA;290035501C;BA;ADUSTINA;-38,1213;-10,51167;2017-01-07 15:50:00.0;3,60;
ADUSTINA;290035501C;BA;ADUSTINA;-38,1213;-10,51167;2017-01-07 16:00:00.0;4,00;
ADUSTINA;290035501C;BA;ADUSTINA;-38,1213;-10,51167;2017-01-07 16:10:00.0;1,60;
ADUSTINA;290035501C;BA;ADUSTINA;-38,1213;-10,51167;2017-01-07 16:20:00.0;0,00;
